BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0481745,HON CAROLYN B MALONEY,11/6/2016,12/30/2016,TAXI/PARKING/TOLLS,258.05,2016,HON CAROLYN B MALONEY
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0481749,CITIBANK GOV CARD SERVICE,12/12/2016,12/16/2016,TAXI/PARKING/TOLLS,121.16,2016,CITIBANK GOV CARD SERVICE
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0491348,AMERICAN DREAM CAR SERVICE INC,10/15/2016,10/15/2016,TAXI/PARKING/TOLLS,1839.94,2016,AMERICAN DREAM CAR SERVICE INC
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487913,MILLER CAROL S.,1/21/2017,1/22/2017,TAXI/PARKING/TOLLS,167.73,2017,MILLER CAROL S.
M001199,HON. BRIAN J. MAST,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0495308,LANGENDERFER JAMES,2/17/2017,3/1/2017,TAXI/PARKING/TOLLS,182.3,2017,LANGENDERFER JAMES
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0489267,CITIBANK GOV CARD SERVICE,1/15/2017,1/18/2017,TAXI/PARKING/TOLLS,160,2017,CITIBANK GOV CARD SERVICE
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0489155,CITIBANK GOV CARD SERVICE,12/10/2016,12/16/2016,TAXI/PARKING/TOLLS,160,2016,CITIBANK GOV CARD SERVICE
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0486914,CITIBANK GOV CARD SERVICE,1/16/2017,1/16/2017,TAXI/PARKING/TOLLS,105,2017,CITIBANK GOV CARD SERVICE
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0486914,CITIBANK GOV CARD SERVICE,1/19/2017,1/19/2017,TAXI/PARKING/TOLLS,105,2017,CITIBANK GOV CARD SERVICE
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0498531,WILLIAMS MARY ELEN,3/5/2017,3/7/2017,TAXI/PARKING/TOLLS,147.93,2017,WILLIAMS MARY ELEN
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0499849,HESTER THOMAS M.,3/10/2017,3/12/2017,TAXI/PARKING/TOLLS,284.28,2017,HESTER THOMAS M.
M001143,HON. BETTY MCCOLLUM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0494982,HOLLANDER EVAN D.,2/21/2017,2/24/2017,TAXI/PARKING/TOLLS,108.89,2017,HOLLANDER EVAN D.
M001143,HON. BETTY MCCOLLUM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497764,HARPER WILLIAM,1/5/2017,1/30/2017,TAXI/PARKING/TOLLS,113.15,2017,HARPER WILLIAM
M001143,HON. BETTY MCCOLLUM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497764,HARPER WILLIAM,2/3/2017,3/2/2017,TAXI/PARKING/TOLLS,137.15,2017,HARPER WILLIAM
M000312,HON. JAMES P. MCGOVERN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0490721,BUHL CYNTHIA M.,1/26/2017,1/29/2017,TAXI/PARKING/TOLLS,161.41,2017,BUHL CYNTHIA M.
M001159,HON. CATHY MCMORRIS RODGERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0496196,SCHAEFFER CATHY J.,2/8/2017,2/11/2017,TAXI/PARKING/TOLLS,119.52,2017,SCHAEFFER CATHY J.
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0500923,CITIBANK GOV CARD SERVICE,1/30/2017,3/27/2017,TAXI/PARKING/TOLLS,622.7,2017,CITIBANK GOV CARD SERVICE
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0500924,CITIBANK GOV CARD SERVICE,1/5/2017,1/25/2017,TAXI/PARKING/TOLLS,450,2017,CITIBANK GOV CARD SERVICE
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0483375,CITIBANK GOV CARD SERVICE,11/14/2016,11/17/2016,TAXI/PARKING/TOLLS,178,2016,CITIBANK GOV CARD SERVICE
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0492169,CITIBANK GOV CARD SERVICE,11/29/2016,12/9/2016,TAXI/PARKING/TOLLS,196,2016,CITIBANK GOV CARD SERVICE
M001137,HON. GREGORY W. MEEKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496212,MORRIS JORDAN E.,3/5/2017,3/7/2017,TAXI/PARKING/TOLLS,375.02,2017,MORRIS JORDAN E.
M001137,HON. GREGORY W. MEEKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0499474,EDWARDS JOE N.,3/1/2017,3/9/2017,TAXI/PARKING/TOLLS,150.6,2017,EDWARDS JOE N.
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/3/2017,AP,E0487186,CITIBANK GOV CARD SERVICE,1/6/2017,1/25/2017,TAXI/PARKING/TOLLS,301.08,2017,CITIBANK GOV CARD SERVICE
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0497726,CITIBANK GOV CARD SERVICE,2/1/2017,2/16/2017,TAXI/PARKING/TOLLS,230,2017,CITIBANK GOV CARD SERVICE
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0478653,CITIBANK GOV CARD SERVICE,12/2/2016,12/9/2016,TAXI/PARKING/TOLLS,184,2016,CITIBANK GOV CARD SERVICE
M001160,HON. GWEN MOORE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0483361,CITIBANK GOV CARD SERVICE,12/4/2016,12/9/2016,TAXI/PARKING/TOLLS,160,2016,CITIBANK GOV CARD SERVICE
M001196,HON. SETH MOULTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0493843,JOSEPH JEREMY,1/9/2017,2/6/2017,TAXI/PARKING/TOLLS,193.64,2017,JOSEPH JEREMY
M001196,HON. SETH MOULTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0474577,SANTOS LUCAS E.,12/2/2016,12/14/2016,TAXI/PARKING/TOLLS,175,2016,SANTOS LUCAS E.
M001190,HON. MARKWAYNE MULLIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0487389,CITIBANK GOV CARD SERVICE,1/17/2017,1/26/2017,TAXI/PARKING/TOLLS,390.74,2017,CITIBANK GOV CARD SERVICE
M001182,HON. MICK MULVANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0493006,CITIBANK GOV CARD SERVICE,1/6/2017,1/23/2017,TAXI/PARKING/TOLLS,277.74,2017,CITIBANK GOV CARD SERVICE
M001182,HON. MICK MULVANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0492133,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,268.79,2017,CITIBANK GOV CARD SERVICE
M001182,HON. MICK MULVANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0495096,CITIBANK GOV CARD SERVICE,11/29/2016,12/15/2016,TAXI/PARKING/TOLLS,196.02,2016,CITIBANK GOV CARD SERVICE
M001182,HON. MICK MULVANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497087,CITIBANK GOV CARD SERVICE,12/1/2016,12/22/2016,TAXI/PARKING/TOLLS,252.87,2016,CITIBANK GOV CARD SERVICE
M001191,HON. PATRICK MURPHY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0473962,JOHNSON ERIC J.,11/29/2016,12/1/2016,TAXI/PARKING/TOLLS,130.23,2016,JOHNSON ERIC J.
M001151,HON. TIM MURPHY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499069,CITIBANK GOV CARD SERVICE,1/30/2017,2/13/2017,TAXI/PARKING/TOLLS,168.46,2017,CITIBANK GOV CARD SERVICE
M001151,HON. TIM MURPHY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0480162,CITIBANK GOV CARD SERVICE,12/1/2016,12/14/2016,TAXI/PARKING/TOLLS,190.48,2016,CITIBANK GOV CARD SERVICE
N000002,HON. JERROLD NADLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486827,CITIBANK GOV CARD SERVICE,1/3/2017,1/17/2017,TAXI/PARKING/TOLLS,250.21,2017,CITIBANK GOV CARD SERVICE
N000002,HON. JERROLD NADLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0501335,CITIBANK GOV CARD SERVICE,1/27/2017,2/27/2017,TAXI/PARKING/TOLLS,665.58,2017,CITIBANK GOV CARD SERVICE
N000002,HON. JERROLD NADLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480631,CITIBANK GOV CARD SERVICE,11/29/2016,12/19/2016,TAXI/PARKING/TOLLS,296.16,2016,CITIBANK GOV CARD SERVICE
N000179,HON. GRACE F. NAPOLITANO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0493947,CICCONE JOSEPH,2/20/2017,2/24/2017,TAXI/PARKING/TOLLS,107.75,2017,CICCONE JOSEPH
N000189,HON. DAN NEWHOUSE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0489389,CITIBANK GOV CARD SERVICE,1/11/2017,1/21/2017,TAXI/PARKING/TOLLS,172.49,2017,CITIBANK GOV CARD SERVICE
N000189,HON. DAN NEWHOUSE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0472859,DANIELS ELIZABETH C.,12/5/2016,12/8/2016,TAXI/PARKING/TOLLS,122.95,2016,DANIELS ELIZABETH C.
N000127,HON. RICHARD M. NOLAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0488091,BARROWS STEVEN L.,1/25/2017,1/27/2017,TAXI/PARKING/TOLLS,121.46,2017,BARROWS STEVEN L.
N000127,HON. RICHARD M. NOLAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493553,WYTKIND EDWARD G.,2/22/2017,2/25/2017,TAXI/PARKING/TOLLS,101.55,2017,WYTKIND EDWARD G.
N000147,HON. ELEANOR HOLMES NORTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/6/2017,AP,E0484420,COLONIAL PARKING INC,2/1/2017,2/28/2017,TAXI/PARKING/TOLLS,183.9,2017,COLONIAL PARKING INC
N000185,HON. RICHARD B. NUGENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0481229,HON RICHARD NUGENT,12/5/2016,12/11/2016,TAXI/PARKING/TOLLS,277.06,2016,HON RICHARD NUGENT
N000185,HON. RICHARD B. NUGENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0485697,LESTER DEAN A.,11/6/2016,11/9/2016,TAXI/PARKING/TOLLS,130.98,2016,LESTER DEAN A.
N000185,HON. RICHARD B. NUGENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,902056,HON RICHARD NUGENT,11/4/2016,11/21/2016,TAXI/PARKING/TOLLS,108,2016,HON RICHARD NUGENT
N000181,HON. DEVIN NUNES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485247,MORROW JENNIFER,1/3/2017,1/30/2017,TAXI/PARKING/TOLLS,136.39,2017,MORROW JENNIFER
N000181,HON. DEVIN NUNES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0489190,RATEKIN ANTHONY H,1/3/2017,1/31/2017,TAXI/PARKING/TOLLS,437.86,2017,RATEKIN ANTHONY H
N000181,HON. DEVIN NUNES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0492088,CITIBANK GOV CARD SERVICE,1/3/2017,1/28/2017,TAXI/PARKING/TOLLS,171.86,2017,CITIBANK GOV CARD SERVICE
N000181,HON. DEVIN NUNES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0493188,MORROW JENNIFER,2/14/2017,2/16/2017,TAXI/PARKING/TOLLS,165.06,2017,MORROW JENNIFER
N000181,HON. DEVIN NUNES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480447,COMFORT SEDANS SERVICES,1/1/2017,1/2/2017,TAXI/PARKING/TOLLS,509.28,2017,COMFORT SEDANS SERVICES
O000170,"HON. BETO O""ROURKE",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0490166,WOOLF AARON H.,1/17/2017,1/19/2017,TAXI/PARKING/TOLLS,128.51,2017,WOOLF AARON H.
O000170,"HON. BETO O""ROURKE",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0473572,CITIBANK GOV CARD SERVICE,10/27/2016,11/23/2016,TAXI/PARKING/TOLLS,132,2016,CITIBANK GOV CARD SERVICE
O000168,HON. PETE OLSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486478,BIONAT CHRISTIAN I.,1/18/2017,1/31/2017,TAXI/PARKING/TOLLS,171.4,2017,BIONAT CHRISTIAN I.
O000168,HON. PETE OLSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0498226,BIONAT CHRISTIAN I.,2/16/2017,2/28/2017,TAXI/PARKING/TOLLS,156.17,2017,BIONAT CHRISTIAN I.
P000601,HON. STEVEN M. PALAZZO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,E0477655,MORAN T.J.,12/17/2016,12/17/2016,TAXI/PARKING/TOLLS,173.52,2016,MORAN T.J.
P000609,HON. GARY J. PALMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0486244,VICE ETHAN,1/18/2017,1/20/2017,TAXI/PARKING/TOLLS,110,2017,VICE ETHAN
P000613,HON. JIMMY PANETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0484885,HON JIMMY PANETTA,1/13/2017,1/21/2017,TAXI/PARKING/TOLLS,641.91,2017,HON JIMMY PANETTA
P000613,HON. JIMMY PANETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0488006,CITIBANK GOV CARD SERVICE,1/24/2017,2/5/2017,TAXI/PARKING/TOLLS,317.46,2017,CITIBANK GOV CARD SERVICE
P000613,HON. JIMMY PANETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500425,CITIBANK GOV CARD SERVICE,1/30/2017,2/27/2017,TAXI/PARKING/TOLLS,1972.59,2017,CITIBANK GOV CARD SERVICE
P000096,HON. BILL PASCRELL  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492408,HON BILL PASCRELL JR,1/30/2016,12/30/2016,TAXI/PARKING/TOLLS,320,2016,HON BILL PASCRELL JR
P000096,HON. BILL PASCRELL  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492421,HON BILL PASCRELL JR,2/5/2015,12/30/2015,TAXI/PARKING/TOLLS,480,2015,HON BILL PASCRELL JR
P000594,HON. ERIK PAULSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0476025,CITIBANK GOV CARD SERVICE,11/30/2016,12/8/2016,TAXI/PARKING/TOLLS,127.59,2016,CITIBANK GOV CARD SERVICE
P000588,HON. STEVAN PEARCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0491377,CITIBANK GOV CARD SERVICE,1/7/2017,1/13/2017,TAXI/PARKING/TOLLS,520,2017,CITIBANK GOV CARD SERVICE
P000588,HON. STEVAN PEARCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0496341,CITIBANK GOV CARD SERVICE,1/27/2017,1/29/2017,TAXI/PARKING/TOLLS,520,2017,CITIBANK GOV CARD SERVICE
P000588,HON. STEVAN PEARCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0500081,CITIBANK GOV CARD SERVICE,1/4/2017,1/4/2017,TAXI/PARKING/TOLLS,260,2017,CITIBANK GOV CARD SERVICE
P000588,HON. STEVAN PEARCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480802,CITIBANK GOV CARD SERVICE,12/3/2016,12/5/2016,TAXI/PARKING/TOLLS,520,2016,CITIBANK GOV CARD SERVICE
P000197,HON. NANCY PELOSI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0495108,BERNAL DANIEL E.,1/7/2017,2/3/2017,TAXI/PARKING/TOLLS,253.45,2017,BERNAL DANIEL E.
P000593,HON. ED PERLMUTTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0480732,AMERICAN COACH INC,1/13/2017,1/13/2017,TAXI/PARKING/TOLLS,136.4,2017,AMERICAN COACH INC
P000593,HON. ED PERLMUTTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0482636,CROWN SEDAN AND LIMOUSINE,1/18/2017,1/18/2017,TAXI/PARKING/TOLLS,156,2017,CROWN SEDAN AND LIMOUSINE
P000593,HON. ED PERLMUTTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0482637,CROWN SEDAN AND LIMOUSINE,1/20/2017,1/20/2017,TAXI/PARKING/TOLLS,156,2017,CROWN SEDAN AND LIMOUSINE
P000593,HON. ED PERLMUTTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0492185,AMERICAN COACH INC,2/16/2017,2/16/2017,TAXI/PARKING/TOLLS,121.4,2017,AMERICAN COACH INC
P000593,HON. ED PERLMUTTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0492186,CROWN SEDAN AND LIMOUSINE,2/16/2017,2/16/2017,TAXI/PARKING/TOLLS,156,2017,CROWN SEDAN AND LIMOUSINE
P000593,HON. ED PERLMUTTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0498958,CROWN SEDAN AND LIMOUSINE,1/13/2017,1/25/2017,TAXI/PARKING/TOLLS,312,2017,CROWN SEDAN AND LIMOUSINE
P000608,HON. SCOTT H. PETERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0496892,PINTAR MARYANNE,3/3/2017,3/3/2017,TAXI/PARKING/TOLLS,1076.25,2017,PINTAR MARYANNE
P000608,HON. SCOTT H. PETERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499211,CITIBANK GOV CARD SERVICE,1/30/2017,1/30/2017,TAXI/PARKING/TOLLS,105,2017,CITIBANK GOV CARD SERVICE
P000608,HON. SCOTT H. PETERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0499210,CITIBANK GOV CARD SERVICE,2/6/2017,2/6/2017,TAXI/PARKING/TOLLS,105,2017,CITIBANK GOV CARD SERVICE
P000608,HON. SCOTT H. PETERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0499210,CITIBANK GOV CARD SERVICE,2/13/2017,2/13/2017,TAXI/PARKING/TOLLS,105,2017,CITIBANK GOV CARD SERVICE
P000258,HON. COLLIN C. PETERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0500866,CITIBANK GOV CARD SERVICE,2/8/2017,2/18/2017,TAXI/PARKING/TOLLS,158.03,2017,CITIBANK GOV CARD SERVICE
P000258,HON. COLLIN C. PETERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0482546,CITIBANK GOV CARD SERVICE,11/14/2016,11/25/2016,TAXI/PARKING/TOLLS,136.28,2016,CITIBANK GOV CARD SERVICE
P000597,HON. CHELLIE PINGREE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492644,HORTON EMILY K.,2/1/2017,2/3/2017,TAXI/PARKING/TOLLS,126.24,2017,HORTON EMILY K.
P000597,HON. CHELLIE PINGREE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496403,CITIBANK GOV CARD SERVICE,1/5/2017,1/12/2017,TAXI/PARKING/TOLLS,146.21,2017,CITIBANK GOV CARD SERVICE
P000597,HON. CHELLIE PINGREE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0496381,BONNEY VICTORIA A,1/31/2017,2/3/2017,TAXI/PARKING/TOLLS,101.26,2017,BONNEY VICTORIA A
P000597,HON. CHELLIE PINGREE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0489596,CITIBANK GOV CARD SERVICE,11/30/2016,12/8/2016,TAXI/PARKING/TOLLS,181.5,2016,CITIBANK GOV CARD SERVICE
P000607,HON. MARK POCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0495424,HON MARK W POCAN,2/6/2017,3/2/2017,TAXI/PARKING/TOLLS,177.96,2017,HON MARK W POCAN
P000611,HON. BRUCE POLIQUIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0484807,STAPLES KAREN M.,1/4/2017,1/12/2017,TAXI/PARKING/TOLLS,184.24,2017,STAPLES KAREN M.
P000611,HON. BRUCE POLIQUIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473262,GALLANT TIMOTHY,10/1/2006,12/30/2016,TAXI/PARKING/TOLLS,126,2016,GALLANT TIMOTHY
P000611,HON. BRUCE POLIQUIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0479073,DEPOY SAMANTHA C.,9/1/2016,12/2/2016,TAXI/PARKING/TOLLS,173,2016,DEPOY SAMANTHA C.
P000598,HON. JARED POLIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0489799,CITIBANK GOV CARD SERVICE,1/24/2017,1/27/2017,TAXI/PARKING/TOLLS,191.94,2017,CITIBANK GOV CARD SERVICE
P000602,HON. MIKE POMPEO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0473682,THOMPSON REAGAN P.,12/1/2016,12/15/2016,TAXI/PARKING/TOLLS,110.69,2016,THOMPSON REAGAN P.
P000602,HON. MIKE POMPEO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0472328,CITIBANK GOV CARD SERVICE,11/17/2016,11/19/2016,TAXI/PARKING/TOLLS,666.19,2016,CITIBANK GOV CARD SERVICE
P000599,HON. BILL POSEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0480970,HON BILL POSEY,1/12/2017,1/12/2017,TAXI/PARKING/TOLLS,159.5,2017,HON BILL POSEY
P000599,HON. BILL POSEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0484983,FEBRO PATRICIA A,1/17/2017,1/21/2017,TAXI/PARKING/TOLLS,115.04,2017,FEBRO PATRICIA A
P000599,HON. BILL POSEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0491610,CITIBANK GOV CARD SERVICE,1/24/2017,1/26/2017,TAXI/PARKING/TOLLS,136,2017,CITIBANK GOV CARD SERVICE
P000599,HON. BILL POSEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0498865,CITIBANK GOV CARD SERVICE,1/28/2017,2/22/2017,TAXI/PARKING/TOLLS,385.8,2017,CITIBANK GOV CARD SERVICE
P000599,HON. BILL POSEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0479026,CITIBANK GOV CARD SERVICE,8/1/2016,12/20/2016,TAXI/PARKING/TOLLS,175.9,2016,CITIBANK GOV CARD SERVICE
P000523,HON. DAVID E. PRICE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0481395,CAROLINA LIVERY SERVICE,1/18/2017,1/18/2017,TAXI/PARKING/TOLLS,799,2017,CAROLINA LIVERY SERVICE
P000523,HON. DAVID E. PRICE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0471627,HILDEBRAND ASHER D.,12/6/2016,12/9/2016,TAXI/PARKING/TOLLS,111.71,2016,HILDEBRAND ASHER D.
Q000023,HON. MIKE QUIGLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0472174,LEE DOUGLAS W.,12/12/2016,12/13/2016,TAXI/PARKING/TOLLS,114.02,2016,LEE DOUGLAS W.
R000600,HON. AMATA COLEMAN RADEWAGEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0491046,YAHN LEAFAINA O.,2/13/2017,2/19/2017,TAXI/PARKING/TOLLS,168,2017,YAHN LEAFAINA O.
